id,createAt,payload,RIGHT,LEFT,temperature,ON/OFF
message_65d84e30-5d34-4d4c-8655-79d27cfac602,2023-02-10 13:05:17:629,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_83df8f2b-1078-49f5-8bd2-44effc237510,2023-02-10 13:06:17:612,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_0877c1a3-dabc-463d-b019-85728d03a943,2023-02-10 13:07:17:612,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_96816f7a-fd83-45aa-9e67-8f727d26ea5d,2023-02-10 13:08:17:611,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_796b928b-914a-40ce-9891-f754eb8a5e53,2023-02-10 13:09:17:609,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_2a2c4ece-4056-4ae3-9832-6bf35d95a2ce,2023-02-10 13:10:17:612,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_ad78e31d-854f-45c1-bf92-86b5130a0152,2023-02-10 13:11:17:603,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_cbd35232-747b-43ce-a768-138ee336673e,2023-02-10 13:12:17:668,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_e95d6f3b-278e-4a69-a715-b15e6f1953ec,2023-02-10 13:13:17:606,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_1bcfd7ac-7d57-4218-b21d-692628c2b1cb,2023-02-10 13:14:17:616,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_f78e1a7f-4eb1-4ba5-a715-30fd15d33a90,2023-02-10 13:15:17:604,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_2193fda6-4387-41e4-b15f-6fd04215a852,2023-02-10 13:16:17:610,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_c91c8eb9-a894-4933-b52e-53d4752c6e44,2023-02-10 13:17:17:604,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_5727d8aa-9dd5-488b-942d-d5158761f533,2023-02-10 13:18:17:610,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_85414b18-1303-49e1-a587-a26626083465,2023-02-10 13:19:17:613,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_03bf4f68-47dc-42fc-b21e-9d11d6a78c83,2023-02-10 13:20:17:588,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_01c9f5b9-b235-4d9b-a283-9eb439dccdd4,2023-02-10 13:21:17:587,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_37f23ef8-ba38-4734-a925-f95fc006fcb6,2023-02-10 13:22:17:583,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_3154e939-557d-4c6d-84a9-ba8d4abb8ac9,2023-02-10 13:23:17:589,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_c6358c84-886e-4f56-8b35-69f88c6e14c0,2023-02-10 13:24:17:585,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_171ab1a6-21b3-4a13-9672-2384ff128bc7,2023-02-10 13:25:17:579,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_026c351b-fdc5-423c-b8ea-3df412c4b611,2023-02-10 13:26:17:585,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_757d189b-b98e-425f-ae7e-9367184bdf38,2023-02-10 13:27:17:579,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_27b1e40a-92df-4700-9fc0-33a1d8a9be4e,2023-02-10 13:28:17:578,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_746f2e19-e54b-4154-b4dc-c576d28f3383,2023-02-10 13:29:17:581,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_5ab15ce2-782f-44ca-8da0-77aba5660370,2023-02-10 13:30:17:580,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_9dc230dc-010e-4470-8096-445c8a21c16e,2023-02-10 13:31:17:584,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_ccde287c-24c2-48ba-8903-ff7c0fca2a46,2023-02-10 13:32:17:585,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_95a56c41-2b28-4047-9d78-2166c603d12a,2023-02-10 13:33:17:563,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_78b27e25-6f49-4734-9e6c-6489df760d29,2023-02-10 13:34:17:563,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_d5cff88a-83aa-44b2-a357-995f3e7d7b15,2023-02-10 13:35:17:557,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_c219d271-ca3b-485c-97b6-629d6ae28eda,2023-02-10 13:36:17:561,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_cea11ba0-332e-4bd7-bb98-325b7dc49ada,2023-02-10 13:37:17:560,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_adefa826-cd74-418e-8d5e-a5f4770f4c43,2023-02-10 13:38:17:649,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_6681715e-2dfb-47c5-bf68-c24d3db7f969,2023-02-10 13:39:17:566,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_a54f5cd4-dafb-4c32-8c2e-7497c3fc9003,2023-02-10 13:40:17:607,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
